uuid,questionOrder0,optionOrder0,optionPicked0,questionOrder1,optionOrder1,optionPicked1,questionOrder2,optionOrder2,optionPicked2,questionOrder3,optionOrder3,optionPicked3,questionOrder4,optionOrder4,optionPicked4,questionOrder5,optionOrder5,optionPicked5,questionOrder6,optionOrder6,optionPicked6,questionOrder7,optionOrder7,optionPicked7,questionOrder8,optionOrder8,optionPicked8,questionOrder9,optionOrder9,optionPicked9,questionOrder10,optionOrder10,optionPicked10,questionOrder11,optionOrder11,optionPicked11,questionOrder12,optionOrder12,optionPicked12,questionOrder13,optionOrder13,optionPicked13,questionOrder14,optionOrder14,optionPicked14,questionOrder15,optionOrder15,optionPicked15,questionOrder16,optionOrder16,optionPicked16,questionOrder17,optionOrder17,optionPicked17,questionOrder18,optionOrder18,optionPicked18,questionOrder19,optionOrder19,optionPicked19,questionOrder20,optionOrder20,optionPicked20,questionOrder21,optionOrder21,optionPicked21,questionOrder22,optionOrder22,optionPicked22,questionOrder23,optionOrder23,optionPicked23,questionOrder24,optionOrder24,optionPicked24,questionOrder25,optionOrder25,optionPicked25,questionOrder26,optionOrder26,optionPicked26,questionOrder27,optionOrder27,optionPicked27,questionOrder28,optionOrder28,optionPicked28
96,11,1,0,7,0,1,23,3,2,25,4,0,18,3,3,20,1,0,17,4,3,27,1,0,26,1,1,13,1,3,9,3,0,2,2,1,8,3,3,16,1,1,6,0,0,15,4,1,22,0,1,21,0,0,4,3,2,14,2,0,10,1,0,19,0,1,5,1,0,0,1,0,3,0,0,1,5,2,28,-1,-1,12,1,1,24,0,1
97,17,1,0,21,0,1,0,0,5,4,2,1,27,2,3,23,0,1,25,3,2,16,0,0,20,0,1,24,2,2,18,0,0,10,0,2,5,2,5,22,1,0,28,-1,-1,2,2,5,14,1,0,9,0,0,6,2,4,15,3,1,7,1,1,1,1,0,3,0,2,26,1,0,13,0,0,8,5,5,11,0,0,12,1,3,19,2,0
98,7,1,1,8,1,1,25,0,2,10,0,0,28,-1,-1,14,1,0,0,4,0,1,0,1,15,1,1,24,1,1,19,3,0,17,1,2,4,6,3,13,1,0,22,1,1,6,3,2,23,0,1,26,1,1,27,1,0,21,4,4,9,1,0,18,1,0,16,2,0,2,0,0,12,0,1,20,5,2,5,0,0,11,1,0,3,1,0
99,24,3,1,28,-1,-1,23,4,2,2,1,1,9,0,3,18,1,0,16,4,3,12,1,0,20,0,1,0,3,1,17,0,0,14,2,2,10,3,3,27,0,1,13,1,0,11,2,2,1,1,1,22,0,1,8,5,0,7,0,1,19,0,1,21,1,0,15,2,0,4,0,0,6,1,0,3,2,0,26,0,1,25,4,1,5,1,1
100,18,0,3,10,0,1,28,-1,-1,9,2,2,3,0,3,23,1,0,6,1,0,25,0,0,11,0,1,7,0,1,12,1,0,15,0,0,14,6,3,0,1,1,26,1,0,16,5,0,13,1,0,19,0,1,8,0,2,5,1,5,2,0,1,21,0,0,20,2,0,27,1,0,1,1,0,24,3,0,17,0,1,4,1,4,22,2,2
101,26,2,1,16,0,1,3,3,1,25,4,1,27,2,3,28,-1,-1,8,3,1,6,1,0,13,0,1,21,3,2,11,-1,-1,4,4,2,2,5,3,10,1,0,5,1,0,14,5,5,24,0,0,19,1,0,9,3,1,15,5,5,22,0,1,18,0,0,23,2,0,7,1,0,20,0,1,17,4,2,0,1,1,1,2,1,12,0,0
102,24,1,1,0,1,1,15,2,0,20,1,0,14,2,1,12,1,0,17,4,4,18,1,1,3,1,0,25,3,3,22,4,0,13,3,2,9,2,4,2,0,1,23,1,1,21,2,1,11,1,0,8,0,1,16,4,3,28,-1,-1,1,1,1,19,1,1,7,2,0,5,0,1,4,0,1,6,-1,-1,10,1,1,26,3,1,27,2,1
103,26,1,1,5,1,1,25,2,2,3,3,0,16,3,3,18,0,0,8,3,1,7,1,0,2,0,0,17,0,3,20,0,0,4,5,2,21,4,4,10,0,0,12,1,0,9,1,1,28,-1,-1,14,1,1,1,2,4,0,2,5,24,0,0,13,0,0,19,2,0,23,0,0,15,0,1,11,3,2,6,1,1,22,3,0,27,0,1
104,10,3,1,6,0,1,19,3,2,14,0,0,13,1,3,5,1,0,18,0,0,7,0,0,21,1,0,23,2,3,11,3,0,25,3,2,27,0,3,0,0,1,4,1,0,2,3,2,1,0,0,24,0,0,26,1,2,16,0,4,3,-1,-1,8,0,0,28,-1,-1,12,0,0,9,1,1,20,1,2,22,0,1,17,1,1,15,0,1
105,8,3,3,10,0,1,0,3,2,24,2,0,15,3,3,9,1,0,27,5,5,28,-1,-1,17,0,0,20,2,2,25,2,0,11,3,5,14,3,4,12,0,1,19,0,0,6,2,1,5,0,1,1,1,0,18,3,2,13,0,4,22,0,1,7,1,1,2,0,0,3,1,0,26,1,1,4,4,2,23,1,0,16,4,1,21,0,1
107,14,2,1,16,1,1,11,3,5,18,1,0,27,0,3,25,1,0,3,3,3,22,1,0,15,0,1,2,1,2,1,4,5,24,1,2,9,2,3,26,0,1,20,1,0,7,4,2,8,1,0,19,1,1,6,2,2,12,4,4,23,0,1,0,0,0,5,1,0,4,1,0,13,1,1,21,3,0,28,-1,-1,10,3,1,17,0,1
